"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"5173",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2010,21,NA,"C1","111 WEST 141 STREET                      ","            ",10030,59,0,59," 7,494 "," 26,165 ",1926,2,"C1"," 9,750,000 ","10/29/2015",9750000,26165,7494,0
"5175",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2011,36,NA,"C7","100 WEST 143 STREET                      ","            ",10030,16,5,21," 4,000 "," 18,628 ",1920,2,"C7"," 8,236,901 ","12/9/2015",8236901,18628,4000,0
"5177",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2012,29,NA,"C7","665 LENOX AVENUE                         ","            ",10037,20,7,27," 4,000 "," 19,546 ",1920,2,"C7"," 7,800,000 ","5/27/2016",7800000,19546,4000,0
"5180",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2014,18,NA,"C1","137 WEST 145 STREET                      ","            ",10039,32,0,32," 4,371 "," 18,024 ",1920,2,"C1"," 24,000,000 ","9/10/2015",2.4e+07,18024,4371,0
"5181",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2014,20,NA,"C1","133 WEST 145 STREET                      ","            ",10039,30,0,30," 4,371 "," 18,024 ",1926,2,"C1"," 6,400,000 ","6/14/2016",6400000,18024,4371,0
"5184",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2A",2023,16,NA,"C2","233 WEST 137 STREET                      ","            ",10030,6,0,6," 1,898 "," 5,340 ",1910,2,"C2"," 2,150,000 ","7/7/2016",2150000,5340,1898,0
"5186",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2025,43,NA,"C1","208 WEST 140 STREET                      ","            ",10030,18,0,18," 3,830 "," 15,292 ",1926,2,"C1"," 6,250,000 ","8/25/2016",6250000,15292,3830,0
"5187",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2030,34,NA,"C7","2492 ADAM C POWELL BLVD                  ","            ",10030,24,3,27," 4,000 "," 16,644 ",1921,2,"C7"," 26,950,000 ","12/23/2015",26950000,16644,4000,0
"5192",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2B",2040,4,NA,"C7","2918 8TH AVENUE                          ","            ",10039,7,3,10," 2,500 "," 7,700 ",1920,2,"C7"," 3,229,125 ","1/21/2016",3229125,7700,2500,0
"5193",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2A",2041,43,NA,"C2","309 WEST 138TH STREET                    ","            ",10030,6,0,6," 1,749 "," 2,727 ",1920,2,"C2"," 2,000,000 ","4/8/2016",2e+06,2727,1749,0
"5194",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2044,2,NA,"C7","22 BRADHURST AVENUE                      ","            ",10030,10,2,12," 2,206 "," 8,060 ",1920,2,"C7"," 3,388,958 ","12/7/2015",3388958,8060,2206,0
"5196",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2045,11,NA,"C7","2733 FREDERICK DOUGLASS B                ","            ",10039,22,2,24," 4,369 "," 15,615 ",1910,2,"C7"," 4,600,000 ","1/22/2016",4600000,15615,4369,0
"5197",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2046,34,NA,"C4","2847 8TH AVENUE                          ","            ",10039,10,1,11," 2,025 "," 8,277 ",1910,2,"C4"," 2,695,875 ","1/21/2016",2695875,8277,2025,0
"5198",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2A",2050,32,NA,"C2","337 CONVENT AVENUE                       ","            ",10031,6,0,6," 2,000 "," 3,920 ",1910,2,"C2"," 4,000,000 ","3/1/2016",4e+06,3920,2000,0
"5199",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2A",2050,51,NA,"C2","404 WEST 145TH STREET                    ","            ",10031,5,0,5," 1,549 "," 3,600 ",1910,2,"C2"," 2,362,500 ","5/13/2016",2362500,3600,1549,0
"5200",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2B",2050,102,NA,"C1","25 HAMILTON TERRACE                      ","            ",10031,9,0,9," 1,326 "," 4,000 ",1910,2,"C1"," 1,700,000 ","12/3/2015",1700000,4000,1326,0
"5207",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2B",2051,104,NA,"C5","190 EDGECOMBE AVENUE                     ","            ",10030,8,0,8," 1,440 "," 2,395 ",1930,2,"C5"," 1,790,000 ","6/3/2016",1790000,2395,1440,0
"5210",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2054,20,NA,"C1","375 EDGECOMBE AVENUE                     ","            ",10031,16,0,16," 3,750 "," 12,905 ",1946,2,"C1"," 4,250,000 ","3/16/2016",4250000,12905,3750,0
"5213",1,"HARLEM-CENTRAL           ","07  RENTALS - WALKUP APARTMENTS             ","2",2054,33,NA,"C1","24 ST NICHOLAS PLACE                     ","            ",10031,20,0,20," 3,750 "," 12,570 ",1926,2,"C1"," 17,210,000 ","9/8/2015",17210000,12570,3750,0
"5214",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1594,42,NA,"D1","8-14 WEST 111 STREET                     ","            ",10026,50,0,50," 14,366 "," 51,460 ",1920,2,"D1"," 12,518,047 ","6/30/2016",12518047,51460,14366,0
"5215",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1594,50,NA,"D1","24-30 WEST 111 STREET                    ","            ",10026,24,0,24," 7,183 "," 29,500 ",1920,2,"D1"," 12,530,282 ","6/30/2016",12530282,29500,7183,0
"5220",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1737,1,NA,"D3","620 LENOX AVENUE                         ","            ",10037,259,0,259," 80,975 "," 185,318 ",1961,2,"D3"," 98,000,000 ","7/11/2016",9.8e+07,185318,80975,0
"5222",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1760,1,NA,"D9","2156 MADISON AVENUE                      ","            ",10037,914,1,915," 248,323 "," 716,400 ",1947,2,"D9"," 200,850,000 ","1/5/2016",200850000,716400,248323,0
"5224",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1826,8,NA,"D1","235 CENTRAL PARK NORTH                   ","            ",10026,91,0,91," 21,479 "," 86,124 ",1915,2,"D1"," 44,000,000 ","5/3/2016",4.4e+07,86124,21479,0
"5225",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1826,18,NA,"D1","217 CENTRAL PARK NORTH                   ","            ",10026,25,0,25," 7,092 "," 30,224 ",1926,2,"D1"," 17,314,565 ","4/20/2016",17314565,30224,7092,0
"5226",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1826,22,NA,"D1","207 CENTRAL PARK NORTH                   ","            ",10026,30,0,30," 10,000 "," 41,070 ",1921,2,"D1"," 28,435,434 ","4/20/2016",28435434,41070,10000,0
"5227",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1828,42,NA,"D1","230 WEST 113 STREET                      ","            ",10026,26,0,26," 5,046 "," 23,106 ",1920,2,"D1"," 14,712,500 ","5/13/2016",14712500,23106,5046,0
"5228",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1915,1,NA,"D1","2201 7TH AVENUE                          ","            ",10027,35,0,35," 10,080 "," 57,266 ",2007,2,"D1"," 4,100,000 ","2/5/2016",4100000,57266,10080,0
"5229",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1922,20,NA,"D7","215 WEST 116TH                           ","            ",10026,39,5,44," 7,592 "," 39,953 ",1910,2,"D7"," 23,350,000 ","5/17/2016",23350000,39953,7592,0
"5230",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1937,1,NA,"D7","273 WEST 131 STREET                      ","            ",10027,44,4,48," 19,983 "," 59,880 ",1972,2,"D7"," 14,875,000 ","12/22/2015",14875000,59880,19983,0
"5231",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1954,14,NA,"D1","6 ST NICHOLAS TERRACE                    ","            ",10027,15,0,15," 3,087 "," 10,420 ",1901,2,"D1"," 6,300,000 ","10/16/2015",6300000,10420,3087,0
"5232",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1955,26,NA,"D7","2411 FREDERICK DOUGLASS B                ","205",10027,205,4,209," 44,962 "," 202,280 ",1980,2,"D7"," 30,158,876 ","6/30/2016",30158876,202280,44962,0
"5233",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2006,11,NA,"D1","137 WEST 137 STREET                      ","            ",10030,56,0,56," 7,494 "," 30,876 ",1930,2,"D1"," 12,000,000 ","11/3/2015",1.2e+07,30876,7494,0
"5235",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2010,6,NA,"D1","137 WEST 141 STREET                      ","            ",10030,48,0,48," 12,490 "," 52,290 ",1910,2,"D1"," 14,034,000 ","3/8/2016",14034000,52290,12490,0
"5237",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2010,11,NA,"D1","127 WEST 141 STREET                      ","            ",10030,48,0,48," 12,490 "," 52,290 ",1910,2,"D1"," 14,033,000 ","3/8/2016",14033000,52290,12490,0
"5239",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2010,18,NA,"D1","117 WEST 141 STREET                      ","            ",10030,48,0,48," 12,490 "," 52,290 ",1910,2,"D1"," 14,033,000 ","3/8/2016",14033000,52290,12490,0
"5241",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2010,54,NA,"D1","148 WEST 142 STREET                      ","            ",10030,55,0,55," 14,988 "," 57,112 ",1921,2,"D1"," 16,500,000 ","6/22/2016",16500000,57112,14988,0
"5245",1,"HARLEM-CENTRAL           ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2051,54,NA,"D7","680 ST NICHOLAS AVENUE                   ","            ",10030,111,6,117," 18,647 "," 132,300 ",1900,2,"D7"," 41,000,000 ","9/17/2015",4.1e+07,132300,18647,0
"5635",1,"HARLEM-CENTRAL           ","14  RENTALS - 4-10 UNIT                     ","2A",1753,134,NA,"S3","1884 PARK AVENUE                         ","            ",10035,3,1,4," 1,383 "," 3,920 ",1900,2,"S3"," 2,000,000 ","12/15/2015",2e+06,3920,1383,0
"5637",1,"HARLEM-CENTRAL           ","14  RENTALS - 4-10 UNIT                     ","2B",1912,29,NA,"S9","339 LENOX AVENUE                         ","            ",10027,6,3,9," 2,000 "," 8,000 ",1910,2,"S9"," 550,000 ","12/31/2015",550000,8000,2000,0
"5638",1,"HARLEM-CENTRAL           ","14  RENTALS - 4-10 UNIT                     ","2B",1912,29,NA,"S9","339 LENOX AVENUE                         ","            ",10027,6,3,9," 2,000 "," 8,000 ",1910,2,"S9"," 520,000 ","12/31/2015",520000,8000,2000,0
"5639",1,"HARLEM-CENTRAL           ","14  RENTALS - 4-10 UNIT                     ","2B",1912,30,NA,"S5","341 LENOX AVENUE                         ","            ",10027,6,1,7," 2,000 "," 5,600 ",1912,2,"S5"," 550,000 ","12/31/2015",550000,5600,2000,0
"5642",1,"HARLEM-CENTRAL           ","14  RENTALS - 4-10 UNIT                     ","2A",1921,25,NA,"S4","111 WEST 136 STREET                      ","            ",10030,4,1,5," 1,665 "," 2,789 ",1910,2,"S4"," 266,000 ","8/2/2016",266000,2789,1665,0
"5643",1,"HARLEM-CENTRAL           ","14  RENTALS - 4-10 UNIT                     ","2A",1921,25,NA,"S4","111 WEST 136 STREET                      ","            ",10030,4,1,5," 1,665 "," 2,789 ",1910,2,"S4"," 1,100,000 ","3/25/2016",1100000,2789,1665,0
"5646",1,"HARLEM-CENTRAL           ","14  RENTALS - 4-10 UNIT                     ","2A",2023,34,NA,"S3","2350 ADAM C POWELL BLVD                  ","            ",10030,3,1,4," 1,583 "," 3,421 ",1910,2,"S3"," 2,800,000 ","6/30/2016",2800000,3421,1583,0
"5648",1,"HARLEM-CENTRAL           ","14  RENTALS - 4-10 UNIT                     ","2B",2025,1,NA,"S9","267 WEST 139 STREET                      ","            ",10030,6,3,9," 4,205 "," 14,715 ",1920,2,"S9"," 5,100,000 ","1/27/2016",5100000,14715,4205,0
"5815",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1624,25,NA,"C1","161 EAST 96 STREET                       ","            ",10128,22,0,22," 2,523 "," 9,160 ",1920,2,"C1"," 6,562,500 ","11/30/2015",6562500,9160,2523,0
"5816",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2B",1625,53,NA,"C7","1511 LEXINGTON AVE                       ","            ",10029,8,2,10," 2,375 "," 8,765 ",1910,2,"C7"," 405,000 ","12/8/2015",405000,8765,2375,0
"5817",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2B",1627,20,NA,"C7","1557 LEXINGTON AVENUE                    ","            ",10029,7,2,9," 2,375 "," 8,840 ",1910,2,"C7"," 4,200,000 ","12/8/2015",4200000,8840,2375,0
"5821",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2A",1632,145,NA,"C5","164 E 105TH STREET                       ","            ",10029,4,0,4," 2,018 "," 5,110 ",1900,2,"C5"," 2,400,000 ","2/4/2016",2400000,5110,2018,0
"5824",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2A",1634,17,NA,"C5","1698 LEXINGTON AVENUE                    ","            ",10029,6,1,6," 1,250 "," 3,920 ",1900,2,"C7"," 320,000 ","11/10/2015",320000,3920,1250,0
"5825",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1634,60,NA,"C7","124 EAST 107 STREET                      ","            ",10029,34,2,36," 5,046 "," 20,395 ",1910,2,"C7"," 9,150,000 ","9/8/2015",9150000,20395,5046,0
"5826",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2A",1635,26,NA,"C2","159 EAST 107TH STREET                    ","            ",10029,5,0,5," 1,716 "," 5,100 ",1900,2,"C2"," 750,000 ","7/28/2016",750000,5100,1716,0
"5827",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2A",1635,41,NA,"C2","178 EAST 108 STREET                      ","            ",10029,6,0,6," 1,716 "," 4,075 ",1910,2,"C2"," 800,000 ","10/2/2015",8e+05,4075,1716,0
"5828",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2A",1638,140,NA,"C3","184 EAST 111TH STREET                    ","            ",10029,4,0,4," 1,766 "," 2,412 ",1890,2,"C3"," 950,000 ","11/18/2015",950000,2412,1766,0
"5830",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2B",1644,156,NA,"C7","1878 LEXINGTON AVENUE                    ","            ",10035,8,2,10," 2,422 "," 11,180 ",1900,2,"C7"," 5,450,000 ","5/25/2016",5450000,11180,2422,0
"5832",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2B",1660,42,NA,"C7","214 EAST 111 STREET                      ","            ",10029,7,2,9," 2,523 "," 6,092 ",1910,2,"C7"," 2,006,500 ","7/28/2016",2006500,6092,2523,0
"5834",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1666,41,NA,"C4","212 EAST 117TH STREET                    ","            ",10035,14,0,14," 4,037 "," 16,989 ",1910,2,"C4"," 4,985,739 ","6/8/2016",4985739,16989,4037,0
"5835",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2A",1667,36,NA,"C3","224 EAST 118 STREET                      ","            ",10035,4,0,4," 2,422 "," 4,224 ",1890,2,"C3"," 2,000,000 ","5/2/2016",2e+06,4224,2422,0
"5836",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1674,49,NA,"C7","1998 2 AVENUE                            ","            ",10029,18,1,19," 2,592 "," 11,720 ",1920,2,"C7"," 6,000,000 ","11/19/2015",6e+06,11720,2592,0
"5837",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2B",1675,104,NA,"C1","301 EAST 103RD STREET                    ","            ",10029,9,0,9," 2,525 "," 5,848 ",1900,2,"C1"," 3,450,000 ","3/18/2016",3450000,5848,2525,0
"5841",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1710,29,NA,"C7","315 PLEASANT AVENUE                      ","            ",10035,23,1,24," 3,357 "," 16,296 ",1920,2,"C7"," 7,000,000 ","4/1/2016",7e+06,16296,3357,0
"5842",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2B",1711,5,NA,"C4","405 EAST 117 STREET                      ","            ",10035,7,0,7," 1,682 "," 4,730 ",1900,2,"C4"," 2,800,000 ","1/12/2016",2800000,4730,1682,0
"5847",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2B",1796,23,NA,"C1","349 EAST 119 STREET                      ","            ",10035,8,0,8," 2,523 "," 5,500 ",1900,2,"C1"," 2,625,000 ","12/17/2015",2625000,5500,2523,0
"5848",1,"HARLEM-EAST              ","07  RENTALS - WALKUP APARTMENTS             ","2",1806,41,NA,"C4","416 EAST 119 STREET                      ","            ",10035,48,0,48," 5,046 "," 15,230 ",1900,2,"C4"," 2,300,000 ","12/17/2015",2300000,15230,5046,0
"5850",1,"HARLEM-EAST              ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1616,21,NA,"D3","1655 MADISON AVENUE                      ","            ",10029,19,0,19," 3,750 "," 16,459 ",2009,2,"D3"," 7,000,000 ","1/4/2016",7e+06,16459,3750,0
"5851",1,"HARLEM-EAST              ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1625,46,NA,"D3","148 EAST 98TH STREET                     ","            ",10029,11,1,12," 2,523 "," 9,900 ",2012,2,"D3"," 6,600,000 ","9/11/2015",6600000,9900,2523,0
"5853",1,"HARLEM-EAST              ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1672,17,NA,"D6","1955 1 AVENUE                            ","            ",10029,232,5,237," 49,356 "," 250,090 ",2003,2,"D6"," 103,000,000 ","6/27/2016",1.03e+08,250090,49356,0
"5855",1,"HARLEM-EAST              ","08  RENTALS - ELEVATOR APARTMENTS           ","2",1708,22,NA,"D7","261-269 PLEASANT AVENUE                  ","            ",10029,22,1,23," 4,218 "," 17,260 ",1900,2,"D7"," 10,000,000 ","2/11/2016",1e+07,17260,4218,0
"5996",1,"HARLEM-EAST              ","14  RENTALS - 4-10 UNIT                     ","2B",1622,30,NA,"S5","89 EAST 116 STREET                       ","            ",10029,6,1,7," 2,523 "," 9,765 ",1910,2,"S5"," 4,800,000 ","11/5/2015",4800000,9765,2523,0
"6000",1,"HARLEM-EAST              ","14  RENTALS - 4-10 UNIT                     ","2B",1796,52,NA,"S5","2336 2 AVENUE                            ","            ",10035,6,1,7," 1,600 "," 3,840 ",1900,2,"S5"," 2,000,000 ","1/7/2016",2e+06,3840,1600,0
"6081",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2A",2059,13,NA,"C2","326 CONVENT AVENUE                       ","            ",10031,5,0,5," 2,000 "," 4,392 ",1920,2,"C2"," 4,950,000 ","1/29/2016",4950000,4392,2000,0
"6084",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2A",2059,154,NA,"C2","460 WEST 145TH STREET                    ","            ",10031,6,0,6," 1,599 "," 2,541 ",1920,2,"C2"," 925,000 ","2/19/2016",925000,2541,1599,0
"6086",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2060,47,NA,"C4","369 CONVENT AVENUE                       ","            ",10031,21,0,21," 2,498 "," 11,165 ",1920,2,"C4"," 4,500,000 ","12/21/2015",4500000,11165,2498,0
"6087",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2062,1,NA,"C7","1761 AMSTERDAM AVENUE                    ","            ",10031,13,1,14," 2,500 "," 11,080 ",1926,2,"C7"," 4,050,000 ","4/11/2016",4050000,11080,2500,0
"6092",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2A",2062,106,NA,"C2","465 WEST 147 STREET                      ","            ",10031,6,0,6," 1,873 "," 2,580 ",1920,2,"C2"," 1,415,000 ","1/21/2016",1415000,2580,1873,0
"6095",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2B",2063,129,NA,"C5","759 ST NICHOLAS AVENUE                   ","            ",10031,9,0,9," 1,900 "," 5,666 ",1920,2,"C5"," 2,560,000 ","1/11/2016",2560000,5666,1900,0
"6096",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2A",2064,142,NA,"C3","418 WEST 150TH STREET                    ","            ",10031,4,0,4," 1,649 "," 4,900 ",1899,2,"C3"," 635,000 ","2/10/2016",635000,4900,1649,0
"6097",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2A",2073,18,NA,"C3","523 WEST 141 STREET                      ","            ",10031,4,0,4," 1,599 "," 3,604 ",1920,2,"C3"," 2,051,000 ","7/7/2016",2051000,3604,1599,0
"6098",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2074,57,NA,"C1","532 WEST143RD STREET                     ","            ",10031,24,0,24," 3,747 "," 15,372 ",1920,2,"C1"," 16,885,000 ","12/23/2015",16885000,15372,3747,0
"6100",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2076,5,NA,"C1","561 WEST 144TH STREET                    ","            ",10031,20,0,20," 4,996 "," 17,650 ",1910,2,"C1"," 6,675,000 ","9/16/2015",6675000,17650,4996,0
"6101",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2076,16,NA,"C1","541 WEST 144TH STREET                    ","            ",10031,20,0,20," 3,997 "," 14,190 ",1920,2,"C1"," 4,550,000 ","1/14/2016",4550000,14190,3997,0
"6102",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2B",2076,128,NA,"C7","503 WEST 144 STREET                      ","            ",10031,7,1,8," 1,674 "," 2,697 ",1926,2,"C7"," 865,410 ","10/30/2015",865410,2697,1674,0
"6103",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2080,34,NA,"C7","1792 AMSTERDAM AVENUE                    ","            ",10031,13,1,14," 2,700 "," 9,313 ",1890,2,"C7"," 3,262,500 ","12/9/2015",3262500,9313,2700,0
"6106",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2B",2081,28,NA,"C1","503 WEST 149 STREET                      ","            ",10031,10,0,10," 2,498 "," 9,083 ",1926,2,"C1"," 2,300,000 ","12/17/2015",2300000,9083,2498,0
"6108",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2B",2081,54,NA,"C5","558 WEST 150TH STREET                    ","            ",10031,10,0,10," 2,498 "," 6,604 ",1910,2,"C5"," 3,100,000 ","5/13/2016",3100000,6604,2498,0
"6109",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2A",2081,140,NA,"C3","518 WEST 150 STREET                      ","            ",10031,4,0,4," 1,699 "," 2,282 ",1926,2,"C3"," 2,375,000 ","12/10/2015",2375000,2282,1699,0
"6110",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2082,11,NA,"C1","541-543 WEST 150TH STREET                ","            ",10031,26,0,26," 4,996 "," 18,158 ",1910,2,"C1"," 2,816,106 ","4/1/2016",2816106,18158,4996,0
"6111",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2082,56,NA,"C1","558 WEST 151ST STREET                    ","            ",10031,15,0,15," 2,498 "," 10,875 ",1977,2,"C1"," 3,650,000 ","1/13/2016",3650000,10875,2498,0
"6112",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2083,26,NA,"C1","511 WEST 151 STREET                      ","            ",10031,31,0,31," 7,433 "," 26,630 ",1900,2,"C1"," 8,500,000 ","3/16/2016",8500000,26630,7433,0
"6114",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2",2083,58,NA,"C1","584 WEST 152 STREET                      ","            ",10031,21,0,21," 4,996 "," 17,960 ",1900,2,"C1"," 6,660,000 ","7/26/2016",6660000,17960,4996,0
"6116",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2A",2094,23,NA,"C2","617 WEST 147TH STREET                    ","            ",10031,6,0,6," 1,615 "," 2,226 ",1926,2,"C2"," 625,000 ","4/18/2016",625000,2226,1615,0
"6117",1,"HARLEM-UPPER             ","07  RENTALS - WALKUP APARTMENTS             ","2A",2094,137,NA,"C2","608 WEST 148 STREET                      ","            ",10031,6,0,6," 1,649 "," 3,515 ",1926,2,"C2"," 1,500,000 ","10/2/2015",1500000,3515,1649,0
"6118",1,"HARLEM-UPPER             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2061,29,NA,"D1","723 ST NICHOLAS AVENUE                   ","            ",10031,40,0,40," 7,411 "," 33,780 ",1906,2,"D1"," 15,500,000 ","9/18/2015",15500000,33780,7411,0
"6119",1,"HARLEM-UPPER             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2069,42,NA,"D1","880 ST NICHOLAS AVENUE                   ","            ",10032,36,0,36," 9,775 "," 43,160 ",1920,2,"D1"," 11,100,000 ","6/28/2016",11100000,43160,9775,0
"6120",1,"HARLEM-UPPER             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2075,14,NA,"D1","519 WEST 143RD STREET                    ","            ",10031,24,0,24," 7,077 "," 29,520 ",1920,2,"D1"," 9,300,000 ","5/12/2016",9300000,29520,7077,0
"6122",1,"HARLEM-UPPER             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2075,53,NA,"D1","550 WEST 144TH STREET                    ","            ",10031,30,0,30," 8,743 "," 45,000 ",1910,2,"D1"," 12,963,964 ","5/9/2016",12963964,45000,8743,0
"6123",1,"HARLEM-UPPER             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2082,1,NA,"D7","3640 BROADWAY                            ","            ",10031,35,6,41," 10,000 "," 44,922 ",1910,2,"D7"," 16,750,000 ","2/23/2016",16750000,44922,10000,0
"6126",1,"HARLEM-UPPER             ","08  RENTALS - ELEVATOR APARTMENTS           ","2",2097,14,NA,"D3","730 RIVERSIDE DRIVE                      ","            ",10031,64,0,64," 10,046 "," 107,530 ",1920,2,"D3"," 33,332,513 ","3/3/2016",33332513,107530,10046,0
